,Tiempo,Tipo,GSR
0,"('2023-03-17T00:16:50.635Z',)","('inicio',)","(1,)"
1,"('2023-03-17T00:16:58.399Z',)","('clic',)","(1,)"
2,"('2023-03-17T00:17:01.217Z',)","('retro',)","(1,)"
3,"('2023-03-17T00:17:05.866Z',)","('clic',)","(1,)"
4,"('2023-03-17T00:17:08.678Z',)","('retro',)","(1,)"
5,"('2023-03-17T00:18:50.925Z',)","('clic',)","(1,)"
6,"('2023-03-17T00:18:53.753Z',)","('retro',)","(1,)"
7,"('2023-03-17T00:18:58.576Z',)","('clic',)","(1,)"
8,"('2023-03-17T00:19:01.387Z',)","('retro',)","(1,)"
9,"('2023-03-17T00:21:06.750Z',)","('clic',)","(1,)"
10,"('2023-03-17T00:21:09.567Z',)","('retro',)","(1,)"
11,"('2023-03-17T00:21:15.545Z',)","('clic',)","(1,)"
12,"('2023-03-17T00:21:18.361Z',)","('retro',)","(1,)"
13,"('2023-03-17T00:21:21.950Z',)","('clic',)","(1,)"
14,"('2023-03-17T00:21:24.782Z',)","('retro',)","(1,)"
15,"('2023-03-17T00:21:28.595Z',)","('clic',)","(1,)"
16,"('2023-03-17T00:21:31.401Z',)","('retro',)","(1,)"
17,"('2023-03-17T00:21:37.834Z',)","('clic',)","(1,)"
18,"('2023-03-17T00:21:40.642Z',)","('retro',)","(1,)"
19,"('2023-03-17T00:21:42.809Z',)","('clic',)","(1,)"
20,"('2023-03-17T00:21:45.626Z',)","('retro',)","(1,)"
21,"('2023-03-17T00:21:54.997Z',)","('clic',)","(1,)"
22,"('2023-03-17T00:21:57.816Z',)","('retro',)","(1,)"
23,"('2023-03-17T00:22:00.686Z',)","('clic',)","(1,)"
24,"('2023-03-17T00:22:03.507Z',)","('retro',)","(1,)"
25,"('2023-03-17T00:22:05.468Z',)","('clic',)","(1,)"
26,"('2023-03-17T00:22:08.297Z',)","('retro',)","(1,)"
27,"('2023-03-17T00:22:11.756Z',)","('clic',)","(1,)"
28,"('2023-03-17T00:22:14.569Z',)","('retro',)","(1,)"
29,"('2023-03-17T00:22:17.228Z',)","('clic',)","(1,)"
30,"('2023-03-17T00:22:20.043Z',)","('retro',)","(1,)"
31,"('2023-03-17T00:22:22.171Z',)","('clic',)","(1,)"
32,"('2023-03-17T00:22:24.975Z',)","('retro',)","(1,)"
33,"('2023-03-17T00:22:27.166Z',)","('clic',)","(1,)"
34,"('2023-03-17T00:22:29.984Z',)","('retro',)","(1,)"
35,"('2023-03-17T00:22:33.722Z',)","('clic',)","(1,)"
36,"('2023-03-17T00:22:36.537Z',)","('retro',)","(1,)"
37,"('2023-03-17T00:22:37.972Z',)","('clic',)","(1,)"
38,"('2023-03-17T00:22:40.781Z',)","('retro',)","(1,)"
39,"('2023-03-17T00:22:42.222Z',)","('clic',)","(1,)"
40,"('2023-03-17T00:22:45.033Z',)","('retro',)","(1,)"
41,"('2023-03-17T00:22:45.825Z',)","('fin',)","(1,)"
